product_id,product_size,product_title,product_upc,productlink_id,productlink_buyprice,productlink_presale,productlink_price
5724,200 ea,Store Brand Pain Relief; Extra Strength; 500 mg; Caplets ,,11809,4.19,7.49,5.24
5725,60 ea,Store Brand Pain Relief; Extra Strength; 500 mg; Tablets ,,11810,2.99,7.49,3.74
5627,4 oz,Store Brand Pain Relief; Grape Flavor ,,11712,4.44,7.49,5.33
5628,1 oz,Store Brand Pain Relief; Grape Flavor ,,11713,5.53,7.49,6.64
5726,500 ea,Store Brand Pain Reliever/Fever Reducer; 200 mg; Caplets; Economy Size ,,11811,7.98,7.49,9.98
5727,1000 ea,Store Brand Pain Reliever/Fever Reducer; 200 mg; Tablets; Economy Size ,,11812,15.96,7.49,19.95
5728,400 ea,Store Brand Pain Reliever/Fever Reducer; All Day Relief; Caplets ,,11813,17.96,7.49,22.45
5729,200 ea,Store Brand Pain Reliever/Fever Reducer; All Day Relief; Caplets ,,11814,9.36,7.49,11.7
5730,50 ea,Store Brand Pain Reliever/Fever Reducer; All Day Relief; Caplets ,,11815,3.99,7.49,4.99
5731,150 ea,Store Brand Pain Reliever/Fever Reducer; Extra Strength; 500 mg; Caplets ,,11816,4.99,7.49,6.24
5732,500 ea,Store Brand Pain Reliever/Fever Reducer; Extra Strength; 500 mg; Caplets; Economy Size ,,11817,7.99,7.49,9.99
4459,24 ea,Store Brand Party Pops ,,10556,2.99,7.49,3.59
4460,12 ea,Store Brand Party Pops; Cherry; Orange; Grape ,,10557,2.99,7.49,3.59
4461,12 ea,Store Brand Party Pops; Orange; Grape; Cherry ,,10558,1.99,7.49,2.39
5823,15 oz can,Store Brand Peaches - Sliced,,11908,1.28,7.49,1.65
5824,15 oz can,Store Brand Peaches - Sliced; Lite,,11909,1.28,7.49,1.65
3119,12 oz can,Store Brand Peanuts - Butter Toffee,,9239,1.99,7.49,2.53
3118,12 oz can,Store Brand Peanuts - Dry; Roasted,,9238,1.99,7.49,2.53
5826,15 oz can,Store Brand Pears,,11911,1.28,7.49,1.65
5891,14.5 oz can,Store Brand Peas,,11976,1,7.49,1.29
5827,20 oz can,Store Brand Pineapple - Chunks,,11912,1.28,7.49,1.65
5828,20 oz can,Store Brand Pineapple - Crushed,,11913,1.28,7.49,1.65
5829,20 oz can,Store Brand Pineapple - Slices,,11914,1.28,7.49,1.65
4650,20 oz,Store Brand Pizza Snack Rolls Buffalo Style Chicken 40 Rolls ,,10747,3,7.49,3.81
4822,24 ea,Store Brand Plastic Party Bowls 12 oz 24 ct ,,10926,2.29,7.49,2.73
4808,50 ea,Store Brand Plastic Party Cups 16 oz 50 ct ,,10912,2.99,7.49,3.56
4809,100 ea,Store Brand Plastic Party Cups 18 oz 100 ct ,,10913,6.49,7.49,7.72
4810,20 ea,Store Brand Plastic Party Cups 18 oz 20 ct ,,10914,1.69,7.49,2.01
4811,50 ea,Store Brand Plastic Party Cups 18 oz 50 ct ,,10915,3.49,7.49,4.15
4812,12 ct,Store Brand Plastic Party Cups Clear 16 oz 20 ct ,,10916,1.49,7.49,1.77
4813,80 ea,Store Brand Plastic Party Cups Clear 9 oz 80 ct ,,10917,2.29,7.49,2.73
4814,50 ea,Store Brand Plastic Party Cups Color 9 oz 50 ct ,,10918,2.29,7.49,2.73
4815,16 ea,Store Brand Plastic Party Cups Crystal 16 oz 16 ct ,,10919,3.99,7.49,4.75
4823,22 ea,"Store Brand Plastic Party Plates 7"" 22 ct ",,10927,2.29,7.49,2.73
4824,15 ct,"Store Brand Plastic Party Plates 9"" 15 ct ",,10928,1.99,7.49,2.37
4825,50 ea,"Store Brand Plastic Party Plates 9"" 50 ct ",,10929,5.99,7.49,7.13
4826,8 ea,"Store Brand Plastic Party Plates Crystal 10"" 8 ct ",,10930,3.99,7.49,4.75
4827,14 ea,"Store Brand Plastic Party Plates Crystal 7"" 14 ct ",,10931,3.99,7.49,4.75
4828,15 ea,"Store Brand Plastic Party Plates Divided 10-1/4"" 15 ct ",,10932,2.59,7.49,3.08
4013,28 oz,Store Brand Popcorn Chicken ,,10110,4.99,7.49,6.24
4462,12 ea,Store Brand Pops; Red; White & Blue ,,10559,1.99,7.49,2.39
4162,7 oz,Store Brand Potato Sticks; Shoestring ,,10259,2.59,7.49,3.11
4710,160 ea,Store Brand Premium Facial Tissue 160 ct ,,10815,1.34,7.49,1.61
4711,3 ea,Store Brand Premium Facial Tissue 3 pack/160 ct ,,10816,3.49,7.49,4.19
